Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
53281,2.9623589515686035,5,8,368,5071,152,54,73.6,39.2,1494,54,633.875,669.4293161902906,1836.0367831589033,4.388394591113393,0.2468632459640503,0.465478137697683,1.645556926727295,0.0,2.9622278213500977,0.7405569553375244,0.794403931793914,1.8878469467163086,0.0,1.3168020248413086,0.1881145749773298,0.23840809989500691,0.6437780857086182,0.0,1,2,0,0,100,160,1.687844073505151,2.7005505176082414,54,1494,418.38461538461536,592.1693544744596,350664.5443786983,2,0,0,3,13,0,0,0,0.0725695129165845,418.38461538461536,73.6,633.875,100,73.6,5,1836.0367831589033,633.875,8,1836.0367831589033,5,368,8,5071,16383,253,0.1197092749855735,0.20579011633556418,0.6437780857086182,0.0,1.645556926727295,0.0,1.645556926727295,1.645556926727295
53283,0.33740782737731934,4,3,784,186,519,54,196.0,191.16615809290096,78,54,62.0,11.313708498984761,2874.8592098169083,20.746406668781812,0.05623463789621989,0.12263248831074955,0.3304328918457031,0.0,0.33740782737731934,0.11246927579243977,0.1574158847320054,0.3350849151611328,0.0,0.004475116729736328,0.002237558364868164,0.0015864372253417969,0.003823995590209961,0.0006511211395263672,2,1,0,0,80,60,11.855089525018178,8.891317143763633,54,519,138.57142857142858,159.16914376389232,25334.816326530618,2,0,0,3,7,0,0,0,4.21505376344086,138.57142857142858,196.0,62.0,80,196.0,4,2874.8592098169083,62.0,3,2874.8592098169083,4,784,3,186,16385,253,0.05623463789621989,0.12263248831074955,0.3304328918457031,0.0,0.0,0.0,0.0,0.0
53284,0.6141180992126465,8,7,5531,4442,1514,54,691.375,651.3888887408198,1494,54,634.5714285714286,669.1074774104162,16239.54743034974,24.425269372831256,0.04386557851518903,0.10668157035367015,0.33025193214416504,0.0,0.6141180992126465,0.08773115703037807,0.13950009920604867,0.33470606803894043,0.0,0.3360140323638916,0.05600233872731527,0.12274744891053214,0.33045482635498047,0.0,3,2,0,0,160,140,13.02681033217667,11.398459040654586,54,1514,664.8666666666667,660.3251589600047,436029.3155555556,2,0,0,5,15,0,0,0,1.245159837910851,664.8666666666667,691.375,634.5714285714286,160,691.375,8,16239.54743034974,634.5714285714286,7,16239.54743034974,8,5531,7,4442,16381,255,0.04386557851518903,0.10668157035367015,0.33025193214416504,0.0,0.0,0.0,0.0,0.0
4070,25.854347944259644,4,2,923,174,750,54,230.75,299.82276014338873,109,65,87.0,22.0,42.43000064689558,0.23206928339231855,5.170869588851929,10.077993935316291,25.32623314857483,0.04214191436767578,25.854347944259644,8.618115981419882,11.814427640781103,25.32623314857483,0.2511630058288574,25.573743104934692,25.573743104934692,0.0,25.573743104934692,25.573743104934692,2,2,0,0,80,40,0.15471285559487905,0.07735642779743952,54,750,182.83333333333334,254.32749010325688,64682.47222222222,0,0,0,4,6,0,0,0,5.304597701149425,182.83333333333334,230.75,87.0,80,230.75,4,42.43000064689558,87.0,2,42.43000064689558,4,923,2,174,255,6,0.1320286989212036,0.08868275001740492,0.23480987548828125,0.04214191436767578,25.32623314857483,0.0,25.32623314857483,25.32623314857483
443,0.38567686080932617,1,1,54,54,54,54,54.0,0.0,54,54,54.0,0.0,280.02717034505696,5.185688339723277,0.38567686080932617,0.0,0.38567686080932617,0.38567686080932617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,2.5928441698616385,2.5928441698616385,54,54,54.0,0.0,0.0,1,0,1,0,2,0,0,0,1.0,54.0,54.0,54.0,20,54.0,1,280.02717034505696,54.0,1,280.02717034505696,1,54,1,54,253,0,0.38567686080932617,0.0,0.38567686080932617,0.38567686080932617,0.0,0.0,0.0,0.0
57621,55.61699104309082,5,0,430,0,86,86,86.0,0.0,0,0,0.0,0.0,7.731450262507828,0.08990058444776543,13.904247760772705,12.605896436804061,30.018204927444458,0.2501680850982666,55.61699104309082,13.904247760772705,12.605896436804061,30.018204927444458,0.2501680850982666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.08990058444776543,0.0,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86.0,86.0,0.0,0,86.0,5,7.731450262507828,0.0,0,7.731450262507828,5,430,0,0,0,0,0.2501680850982666,0.0,0.2501680850982666,0.2501680850982666,18.455607652664185,11.358638086136562,30.018204927444458,3.017303943634033
0,20.056071043014526,5,0,250,0,50,50,50.0,0.0,0,0,0.0,0.0,12.465053572248603,0.24930107144497207,5.014017760753632,8.684533511678021,20.056071043014526,0.0,20.056071043014526,5.014017760753632,8.684533511678021,20.056071043014526,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.24930107144497207,0.0,50,50,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0,50.0,5,12.465053572248603,0.0,0,12.465053572248603,5,250,0,0,0,0,0.0,0.0,0.0,0.0,20.056071043014526,0.0,20.056071043014526,20.056071043014526
0,27.00342297554016,5,0,278,0,62,54,55.6,3.1999999999999997,0,0,0.0,0.0,10.29499112952509,0.1851617109626815,6.75085574388504,5.247933444344276,15.49576997756958,2.004194974899292,27.00342297554016,6.75085574388504,5.247933444344276,15.49576997756958,2.004194974899292,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1851617109626815,0.0,54,62,55.6,3.1999999999999997,10.239999999999998,0,0,0,0,0,0,0,0,0.0,55.6,55.6,0.0,0,55.6,5,10.29499112952509,0.0,0,10.29499112952509,5,278,0,0,0,0,0.0,0.0,0.0,0.0,6.75085574388504,5.247933444344276,15.49576997756958,2.004194974899292
53,1.01326584815979,1,1,78,106,78,78,78.0,0.0,106,106,106.0,0.0,181.59104082523422,1.97381566114385,1.01326584815979,0.0,1.01326584815979,1.01326584815979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.986907830571925,0.986907830571925,78,106,92.0,14.0,196.0,0,0,0,0,0,0,0,0,0.7358490566037735,92.0,78.0,106.0,0,78.0,1,181.59104082523422,106.0,1,181.59104082523422,1,78,1,106,0,0,0.0,0.0,0.0,0.0,1.01326584815979,0.0,1.01326584815979,1.01326584815979
0,35.0213680267334,6,0,276,0,46,46,46.0,0.0,0,0,0.0,0.0,7.880902875904696,0.17132397556314555,7.00427360534668,8.577806534046088,17.634855031967163,0.0,35.0213680267334,7.00427360534668,8.577806534046088,17.634855031967163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.17132397556314555,0.0,46,46,46.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,46.0,46.0,0.0,0,46.0,6,7.880902875904696,0.0,0,7.880902875904696,6,276,0,0,0,0,0.0008233388264973959,0.0011643769348609657,0.0024700164794921875,0.0,17.509449005126953,0.12540602684020996,17.634855031967163,17.384042978286743
